id,name
0,acinar
1,acinar
2,acinar
3,acinar
4,acinar
5,acinar
6,acinar
7,acinar
8,acinar
9,acinar
10,acinar
11,acinar
12,acinar
13,acinar
14,acinar
15,acinar
16,acinar
17,acinar
18,acinar
19,acinar
20,acinar
21,acinar
22,acinar
23,acinar
24,acinar
25,acinar
26,acinar
27,delta
28,acinar
29,delta
30,acinar
31,acinar
32,acinar
33,acinar
34,acinar
35,acinar
36,acinar
37,acinar
38,delta
39,acinar
40,acinar
41,acinar
42,acinar
43,acinar
44,acinar
45,acinar
46,acinar
47,ductal
48,acinar
49,acinar
50,acinar
51,acinar
52,acinar
53,acinar
54,acinar
55,alpha
56,acinar
57,acinar
58,acinar
59,acinar
60,acinar
61,acinar
62,acinar
63,beta
64,ductal
65,acinar
66,acinar
67,alpha
68,acinar
69,acinar
70,endothelial
71,acinar
72,acinar
73,acinar
74,delta
75,acinar
76,acinar
77,acinar
78,acinar
79,acinar
80,alpha
81,acinar
82,alpha
83,acinar
84,acinar
85,acinar
86,acinar
87,activated_stellate
88,acinar
89,acinar
90,delta
91,acinar
92,acinar
93,acinar
94,acinar
95,acinar
96,acinar
97,acinar
98,beta
99,beta
100,acinar
101,alpha
102,alpha
103,delta
104,acinar
105,delta
106,acinar
107,acinar
108,acinar
109,delta
110,alpha
111,acinar
112,acinar
113,delta
114,alpha
115,acinar
116,acinar
117,alpha
118,acinar
119,acinar
120,acinar
121,beta
122,acinar
123,acinar
124,acinar
125,beta
126,alpha
127,delta
128,alpha
129,delta
130,acinar
131,beta
132,ductal
133,beta
134,ductal
135,delta
136,beta
137,acinar
138,alpha
139,beta
140,delta
141,activated_stellate
142,beta
143,alpha
144,delta
145,acinar
146,beta
147,alpha
148,beta
149,acinar
150,beta
151,alpha
152,alpha
153,beta
154,acinar
155,alpha
156,activated_stellate
157,acinar
158,beta
159,ductal
160,acinar
161,ductal
162,beta
163,beta
164,delta
165,beta
166,beta
167,acinar
168,alpha
169,acinar
170,alpha
171,acinar
172,alpha
173,acinar
174,beta
175,beta
176,alpha
177,beta
178,acinar
179,beta
180,acinar
181,alpha
182,beta
183,alpha
184,acinar
185,alpha
186,alpha
187,delta
188,beta
189,acinar
190,alpha
191,delta
192,delta
193,delta
194,acinar
195,acinar
196,acinar
197,alpha
198,beta
199,acinar
200,acinar
201,beta
202,beta
203,acinar
204,alpha
205,ductal
206,alpha
207,beta
208,acinar
209,beta
210,acinar
211,acinar
212,beta
213,acinar
214,acinar
215,delta
216,delta
217,beta
218,beta
219,acinar
220,alpha
221,alpha
222,alpha
223,acinar
224,ductal
225,beta
226,alpha
227,ductal
228,alpha
229,acinar
230,activated_stellate
231,alpha
232,beta
233,beta
234,beta
235,alpha
236,alpha
237,acinar
238,alpha
239,alpha
240,beta
241,beta
242,alpha
243,acinar
244,beta
245,acinar
246,ductal
247,beta
248,beta
249,alpha
250,alpha
251,alpha
252,acinar
253,alpha
254,acinar
255,alpha
256,beta
257,alpha
258,beta
259,beta
260,delta
261,activated_stellate
262,alpha
263,acinar
264,ductal
265,alpha
266,alpha
267,acinar
268,beta
269,acinar
270,delta
271,delta
272,alpha
273,delta
274,beta
275,activated_stellate
276,alpha
277,beta
278,acinar
279,alpha
280,alpha
281,acinar
282,beta
283,ductal
284,alpha
285,alpha
286,beta
287,ductal
288,alpha
289,quiescent_stellate
290,alpha
291,ductal
292,alpha
293,beta
294,alpha
295,alpha
296,alpha
297,delta
298,alpha
299,acinar
300,delta
301,acinar
302,alpha
303,beta
304,ductal
305,ductal
306,acinar
307,ductal
308,ductal
309,delta
310,alpha
311,beta
312,beta
313,delta
314,alpha
315,beta
316,beta
317,alpha
318,alpha
319,endothelial
320,alpha
321,beta
322,beta
323,alpha
324,alpha
325,acinar
326,beta
327,alpha
328,beta
329,acinar
330,acinar
331,alpha
332,beta
333,alpha
334,alpha
335,alpha
336,alpha
337,ductal
338,delta
339,alpha
340,ductal
341,ductal
342,beta
343,beta
344,delta
345,activated_stellate
346,beta
347,beta
348,acinar
349,alpha
350,alpha
351,alpha
352,acinar
353,alpha
354,beta
355,alpha
356,beta
357,alpha
358,delta
359,acinar
360,activated_stellate
361,acinar
362,alpha
363,beta
364,activated_stellate
365,alpha
366,alpha
367,alpha
368,alpha
369,alpha
370,acinar
371,alpha
372,acinar
373,alpha
374,alpha
375,ductal
376,beta
377,alpha
378,delta
379,beta
380,activated_stellate
381,ductal
382,beta
383,alpha
384,acinar
385,alpha
386,alpha
387,alpha
388,acinar
389,alpha
390,acinar
391,activated_stellate
392,alpha
393,beta
394,beta
395,beta
396,activated_stellate
397,acinar
398,alpha
399,ductal
400,alpha
401,beta
402,beta
403,beta
404,alpha
405,delta
406,alpha
407,beta
408,beta
409,alpha
410,beta
411,beta
412,alpha
413,beta
414,alpha
415,alpha
416,alpha
417,alpha
418,acinar
419,alpha
420,beta
421,acinar
422,beta
423,beta
424,alpha
425,delta
426,alpha
427,alpha
428,alpha
429,delta
430,beta
431,ductal
432,ductal
433,beta
434,ductal
435,endothelial
436,ductal
437,alpha
438,acinar
439,acinar
440,alpha
441,alpha
442,beta
443,alpha
444,alpha
445,beta
446,acinar
447,alpha
448,beta
449,alpha
450,alpha
451,alpha
452,activated_stellate
453,alpha
454,alpha
455,gamma
456,beta
457,ductal
458,beta
459,beta
460,alpha
461,ductal
462,beta
463,alpha
464,alpha
465,alpha
466,alpha
467,alpha
468,ductal
469,activated_stellate
470,alpha
471,alpha
472,delta
473,beta
474,alpha
475,acinar
476,alpha
477,alpha
478,beta
479,ductal
480,alpha
481,delta
482,acinar
483,acinar
484,beta
485,alpha
486,alpha
487,ductal
488,macrophage
489,alpha
490,delta
491,beta
492,alpha
493,beta
494,ductal
495,ductal
496,alpha
497,alpha
498,activated_stellate
499,ductal
500,endothelial
501,gamma
502,alpha
503,beta
504,acinar
505,alpha
506,alpha
507,alpha
508,beta
509,alpha
510,alpha
511,gamma
512,beta
513,alpha
514,ductal
515,delta
516,ductal
517,alpha
518,alpha
519,endothelial
520,alpha
521,alpha
522,beta
523,activated_stellate
524,alpha
525,acinar
526,alpha
527,beta
528,ductal
529,acinar
530,beta
531,beta
532,beta
533,alpha
534,delta
535,acinar
536,alpha
537,beta
538,alpha
539,ductal
540,alpha
541,alpha
542,beta
543,alpha
544,acinar
545,acinar
546,beta
547,beta
548,alpha
549,ductal
550,ductal
551,alpha
552,beta
553,ductal
554,alpha
555,macrophage
556,ductal
557,acinar
558,beta
559,acinar
560,beta
561,ductal
562,gamma
563,ductal
564,alpha
565,alpha
566,ductal
567,alpha
568,alpha
569,delta
570,ductal
571,acinar
572,alpha
573,alpha
574,alpha
575,ductal
576,ductal
577,ductal
578,ductal
579,acinar
580,alpha
581,alpha
582,delta
583,delta
584,alpha
585,alpha
586,ductal
587,acinar
588,alpha
589,alpha
590,beta
591,alpha
592,activated_stellate
593,ductal
594,alpha
595,activated_stellate
596,alpha
597,acinar
598,ductal
599,alpha
600,alpha
601,alpha
602,acinar
603,activated_stellate
604,endothelial
605,beta
606,alpha
607,ductal
608,alpha
609,beta
610,alpha
611,alpha
612,quiescent_stellate
613,ductal
614,ductal
615,alpha
616,alpha
617,acinar
618,acinar
619,alpha
620,beta
621,alpha
622,delta
623,alpha
624,acinar
625,beta
626,acinar
627,acinar
628,alpha
629,ductal
630,alpha
631,alpha
632,endothelial
633,ductal
634,ductal
635,ductal
636,alpha
637,alpha
638,activated_stellate
639,beta
640,alpha
641,acinar
642,gamma
643,alpha
644,alpha
645,ductal
646,mast
647,ductal
648,alpha
649,acinar
650,alpha
651,quiescent_stellate
652,activated_stellate
653,beta
654,acinar
655,alpha
656,alpha
657,alpha
658,ductal
659,acinar
660,acinar
661,endothelial
662,ductal
663,alpha
664,delta
665,alpha
666,ductal
667,alpha
668,activated_stellate
669,ductal
670,beta
671,ductal
672,beta
673,alpha
674,alpha
675,ductal
676,alpha
677,alpha
678,alpha
679,alpha
680,alpha
681,activated_stellate
682,acinar
683,beta
684,alpha
685,quiescent_stellate
686,alpha
687,alpha
688,alpha
689,alpha
690,activated_stellate
691,alpha
692,alpha
693,alpha
